date;indicator;value
2012-11;Eastern region - Average (GW);6.4
2012-12;Eastern region - Average (GW);6.3
2012-12;Southern region - Minimum - (GW);1.9
2013-01;Eastern region - Maximum (GW);9.4
2013-02;Eastern region - Maximum (GW);9.4
2013-02;Southern region - Average - (GW);2.5
2013-03;Southern region - Minimum - (GW);2.0
2013-03;Western region - Average - (GW);8.2
2013-04;Central region - Average - (GW);8.5
2013-04;Southern region - Maximum - (GW);3.8
2013-05;Central region - Minimum - (GW);5.7
2013-05;Eastern region - Minimum (GW);9.2
2013-05;Western region - Average - (GW);10.8
2013-05;Western region - Maximum - (GW);13.5
2013-06;Central region - Minimum - (GW);10.0
2013-07;Central region - Average - (GW);14.5
2013-07;Central region - Maximum - (GW);17.0
2013-07;Central region - Minimum - (GW);11.8
2013-07;Eastern region - Average (GW);13.7
2013-07;Eastern region - Minimum (GW);11.8
2013-07;Southern region - Maximum - (GW);4.4
2013-07;Western region - Average - (GW);12.4
2013-08;Central region - Average - (GW);13.6
2013-08;Southern region - Maximum - (GW);4.1
2013-08;Western region - Minimum - (GW);9.7
2013-09;Eastern region - Maximum (GW);15.2
2013-09;Southern region - Average - (GW);3.5
2013-09;Southern region - Minimum - (GW);2.5
2013-10;Central region - Maximum - (GW);12.9
2013-10;Southern region - Minimum - (GW);2.1
2013-11;Eastern region - Average (GW);9.6
2013-11;Southern region - Average - (GW);2.8
2013-12;Southern region - Maximum - (GW);3.4
2013-12;Southern region - Minimum - (GW);2.0
2014-01;Southern region - Minimum - (GW);2.0
2014-02;Western region - Minimum - (GW);4.9
2014-03;Central region - Minimum - (GW);5.3
2014-03;Southern region - Maximum - (GW);3.7
2014-03;Southern region - Minimum - (GW);2.0
2014-03;Western region - Maximum - (GW);10.3
2014-03;Western region - Minimum - (GW);4.9
2014-04;Central region - Maximum - (GW);14.3
2014-04;Eastern region - Maximum (GW);14.3
2014-04;Western region - Average - (GW);10.0
2014-05;Central region - Average - (GW);12.6
2014-05;Central region - Maximum - (GW);16.5
2014-05;Western region - Minimum - (GW);7.9
2014-07;Western region - Average - (GW);12.9
2014-07;Western region - Maximum - (GW);15.5
2014-08;Southern region - Maximum - (GW);4.6
2014-09;Eastern region - Average (GW);15.0
2014-09;Southern region - Average - (GW);3.8
2014-09;Western region - Average - (GW);12.7
2014-10;Southern region - Maximum - (GW);4.0
2014-11;Central region - Maximum - (GW);10.4
2014-11;Eastern region - Average (GW);11.1
2015-01;Central region - Maximum - (GW);11.2
2015-03;Eastern region - Maximum (GW);13.1
2015-03;Southern region - Average - (GW);3.2
2015-03;Western region - Average - (GW);8.8
2015-04;Central region - Maximum - (GW);13.9
2015-04;Central region - Minimum - (GW);6.4
2015-04;Southern region - Average - (GW);3.5
2015-04;Southern region - Minimum - (GW);2.6
2015-05;Central region - Maximum - (GW);17.4
2015-05;Western region - Average - (GW);12.2
2015-05;Western region - Minimum - (GW);9.3
2015-07;Central region - Minimum - (GW);12.2
2015-07;Eastern region - Average (GW);16.0
2015-08;Central region - Minimum - (GW);13.4
2015-08;Southern region - Maximum - (GW);5.1
2015-08;Southern region - Minimum - (GW);3.2
2015-09;Central region - Maximum - (GW);19.3
2015-09;Southern region - Maximum - (GW);5.0
2015-09;Western region - Average - (GW);14.2
2015-10;Central region - Maximum - (GW);15.5
2015-10;Eastern region - Maximum (GW);16.9
2015-10;Western region - Average - (GW);12.4
2015-10;Western region - Minimum - (GW);8.6
2015-11;Eastern region - Maximum (GW);13.9
2015-12;Central region - Minimum - (GW);5.7
2016-01;Central region - Maximum - (GW);11.8
2016-02;Central region - Minimum - (GW);5.5
2016-02;Eastern region - Average (GW);11.1
2016-02;Southern region - Average - (GW);3.1
2016-02;Southern region - Maximum - (GW);4.1
2016-03;Western region - Maximum - (GW);12.1
2016-04;Central region - Minimum - (GW);5.6
2016-04;Eastern region - Maximum (GW);15.0
2016-05;Central region - Minimum - (GW);5.0
2016-06;Western region - Average - (GW);14.1
2016-07;Central region - Average - (GW);16.5
2016-07;Western region - Average - (GW);13.6
2016-08;Eastern region - Maximum (GW);18.6
2016-08;Southern region - Average - (GW);4.5
2016-08;Southern region - Minimum - (GW);3.1
2016-08;Western region - Maximum - (GW);16.0
2016-09;Eastern region - Average (GW);15.8
2016-09;Southern region - Average - (GW);4.5
2016-09;Southern region - Maximum - (GW);5.3
2016-09;Western region - Average - (GW);13.8
2016-09;Western region - Maximum - (GW);16.1
2016-10;Central region - Average - (GW);10.5
2016-10;Eastern region - Average (GW);13.7
2016-11;Southern region - Average - (GW);3.4
2016-11;Southern region - Maximum - (GW);4.3
2016-12;Central region - Maximum - (GW);11.0
2016-12;Southern region - Minimum - (GW);2.5
2017-01;Eastern region - Minimum (GW);9.8
2017-01;Southern region - Average - (GW);3.2
2017-02;Central region - Minimum - (GW);6.5
2017-02;Western region - Maximum - (GW);9.4
2017-03;Central region - Minimum - (GW);5.8
2017-03;Eastern region - Minimum (GW);9.4
2017-04;Central region - Maximum - (GW);14.9
2017-04;Eastern region - Average (GW);13.0
